"Site","SampleID","SeqBatch","StudyID","SampleType","Date","WOY","SiteLat","SiteLong","newDate","dayLength"
"BRN","oro160507",4.2,"oro16","sample","6/25/16",26,42.731521,-71.605841,2016-06-25,15.3217059904312
"BRN","oro160489",4.2,"oro16","sample","6/18/16",25,42.731521,-71.605841,2016-06-18,15.325618062696
"BRN","oro160490",4.2,"oro16","sample","6/18/16",25,42.731521,-71.605841,2016-06-18,15.325618062696
"BRN","oro160447",4.2,"oro16","sample","5/26/16",22,42.731521,-71.605841,2016-05-26,14.9687526709762
"BRN","oro160492",4.2,"oro16","sample","6/18/16",25,42.731521,-71.605841,2016-06-18,15.325618062696
"BRN","oro160449",4.2,"oro16","sample","5/26/16",22,42.731521,-71.605841,2016-05-26,14.9687526709762
"BRN","oro160494",4.2,"oro16","sample","6/18/16",25,42.731521,-71.605841,2016-06-18,15.325618062696
"BRN","oro160500",4.2,"oro16","sample","6/25/16",26,42.731521,-71.605841,2016-06-25,15.3217059904312
"BRN","oro160499",4.2,"oro16","sample","6/25/16",26,42.731521,-71.605841,2016-06-25,15.3217059904312
"BRN","oro160502",4.2,"oro16","sample","6/25/16",26,42.731521,-71.605841,2016-06-25,15.3217059904312
"BRN","oro160424",4.2,"oro16","sample","05/15/16",20,42.731521,-71.605841,2016-05-15,14.6301012169954
"BRN","oro160425",4.2,"oro16","sample","05/15/16",20,42.731521,-71.605841,2016-05-15,14.6301012169954
"BRN","oro160456",4.2,"oro16","sample","5/26/16",22,42.731521,-71.605841,2016-05-26,14.9687526709762
"BRN","oro160427",4.2,"oro16","sample","05/15/16",20,42.731521,-71.605841,2016-05-15,14.6301012169954
"BRN","oro160508",4.2,"oro16","sample","7/3/16",27,42.731521,-71.605841,2016-07-03,15.2509004145097
"BRN","oro160460",4.2,"oro16","sample","6/4/16",23,42.731521,-71.605841,2016-06-04,15.1717461742676
"BRN","oro160461",4.2,"oro16","sample","6/4/16",23,42.731521,-71.605841,2016-06-04,15.1717461742676
"BRN","oro160418",4.2,"oro16","sample","5/9/16",20,42.731521,-71.605841,2016-05-09,14.4117253982284
"BRN","oro160419",4.2,"oro16","sample","5/9/16",20,42.731521,-71.605841,2016-05-09,14.4117253982284
"BRN","oro160464",4.2,"oro16","sample","6/4/16",23,42.731521,-71.605841,2016-06-04,15.1717461742676
"BRN","oro160466",4.2,"oro16","sample","6/4/16",23,42.731521,-71.605841,2016-06-04,15.1717461742676
"BRN","oro160422",4.2,"oro16","sample","05/15/16",20,42.731521,-71.605841,2016-05-15,14.6301012169954
"BRN","oro160423",4.2,"oro16","sample","05/15/16",20,42.731521,-71.605841,2016-05-15,14.6301012169954
"BRN","oro160393",4.2,"oro16","sample","4/22/16",17,42.731521,-71.605841,2016-04-22,13.7030563166149
"BRN","oro151887",3.1,"oro15","sample","8/22/15",34,42.731521,-71.605841,2015-08-22,13.6769546279944
"BRN","oro160426",4.2,"oro16","sample","05/15/16",20,42.731521,-71.605841,2016-05-15,14.6301012169954
"BRN","oro160487",4.2,"oro16","sample","6/18/16",25,42.731521,-71.605841,2016-06-18,15.325618062696
