SampleID,rBC,fBC,SeqBatch,StudyID,DNAplate,DNAwell,SampleType,Site,Date,WOY,HostSpecies
bri160369,SA703,SC505,1.2,bri16,27,E03,sample,ELY,6/24/16,26,EPFU
bri160370,SA704,SC505,1.2,bri16,27,E04,sample,ELY,6/24/16,26,EPFU
bri160371,SA706,SC505,1.2,bri16,27,E06,sample,ELY,6/24/16,26,MYLE
bri160372,SA707,SC505,1.2,bri16,27,E07,sample,ELY,6/24/16,26,EPFU
bri160373,SA708,SC505,1.2,bri16,27,E08,sample,ELY,6/24/16,26,MYLE
bri160374,SA709,SC505,1.2,bri16,27,E09,sample,ELY,6/25/16,26,MYLE
bri160375,SA710,SC505,1.2,bri16,27,E10,sample,ELY,6/25/16,26,EPFU
bri160406,SA712,SA506,7.2,bri16,37,F12,sample,ELY,7/28/2016,31,MYLE
bri160407,SA701,SA507,7.2,bri16,37,G01,sample,ELY,7/28/2016,31,EPFU
bri160408,SA702,SA507,7.2,bri16,37,G02,sample,ELY,7/28/2016,31,EPFU
bri160409,SA703,SA507,7.2,bri16,37,G03,sample,ELY,7/28/2016,31,EPFU
bri160410,SA704,SA507,7.2,bri16,37,G04,sample,ELY,7/28/2016,31,EPFU
bri160411,SA705,SA507,7.2,bri16,37,G05,sample,ELY,7/28/2016,31,EPFU
bri160412,SA706,SA507,7.2,bri16,37,G06,sample,ELY,7/28/2016,31,EPFU
bri160568,SB702,SB507,7.2,bri16,45,G02,sample,ELY,8/22/2016,35,MYLE
bri160570,SB704,SB507,7.2,bri16,45,G04,sample,ELY,8/22/2016,35,MYLU
bri160571,SB705,SB507,7.2,bri16,45,G05,sample,ELY,8/22/2016,35,MYLE
bri160572,SB706,SB507,7.2,bri16,45,G06,sample,ELY,8/22/2016,35,MYLE
bri160573,SB708,SB507,7.2,bri16,45,G08,sample,ELY,8/22/2016,35,MYLE
bri160575,SB709,SB507,7.2,bri16,45,G09,sample,ELY,8/22/2016,35,MYLE
bri160576,SB710,SB507,7.2,bri16,45,G10,sample,ELY,8/22/2016,35,MYLE
bri160577,SB711,SB507,7.2,bri16,45,G11,sample,ELY,8/22/2016,35,MYLU
bri160579,SB701,SB508,7.2,bri16,45,H01,sample,ELY,8/23/2016,35,MYLE
bri160580,SB702,SB508,7.2,bri16,45,H02,sample,ELY,8/23/2016,35,MYLE
bri160581,SB703,SB508,7.2,bri16,45,H03,sample,ELY,8/23/2016,35,MYLE
bri160582,SB704,SB508,7.2,bri16,45,H04,sample,ELY,8/23/2016,35,MYLE
bri160583,SB705,SB508,7.2,bri16,45,H05,sample,ELY,8/23/2016,35,MYLE
bri160584,SB706,SB508,7.2,bri16,45,H06,sample,ELY,8/23/2016,35,MYLE
bri160585,SB707,SB508,7.2,bri16,45,H07,sample,ELY,8/23/2016,35,MYLU
bri160586,SB709,SB508,7.2,bri16,45,H09,sample,ELY,8/23/2016,35,MYLE
bri160587,SB710,SB508,7.2,bri16,45,H10,sample,ELY,8/23/2016,35,MYLE
bri160588,SB711,SB508,7.2,bri16,45,H11,sample,ELY,8/23/2016,35,MYLE
bri160589,SB712,SB508,7.2,bri16,45,H12,sample,ELY,8/23/2016,35,MYLE
bri160600,SB708,SB506,7.2,bri16,45,F08,sample,ELY,8/24/2016,35,MYLE
bri160601,SB710,SB505,7.2,bri16,45,E10,sample,ELY,8/24/2016,35,MYLE
bri160602,SB711,SB505,7.2,bri16,45,E11,sample,ELY,8/24/2016,35,MYLE
bri160604,SB701,SB506,7.2,bri16,45,F01,sample,ELY,8/24/2016,35,MYLE
bri160605,SB702,SB506,7.2,bri16,45,F02,sample,ELY,8/24/2016,35,MYLE
bri160606,SB703,SB506,7.2,bri16,45,F03,sample,ELY,8/24/2016,35,MYLE
bri160607,SB704,SB506,7.2,bri16,45,F04,sample,ELY,8/30/2016,36,MYLE
bri160608,SB705,SB506,7.2,bri16,45,F05,sample,ELY,8/30/2016,36,MYLE
bri160609,SB707,SB506,7.2,bri16,45,F07,sample,ELY,8/31/2016,36,MYLE
bri160610,SB709,SB506,7.2,bri16,45,F09,sample,ELY,8/31/2016,36,MYLE
bri160611,SB710,SB506,7.2,bri16,45,F10,sample,ELY,9/2/2016,36,MYLE
bri160612,SB711,SB506,7.2,bri16,45,F11,sample,ELY,9/7/2016,37,MYLE
bri160659,SB703,SA506,7.1,bri16,33,F03,sample,ELY,7/23/2016,30,MYLE
bri160660,SB704,SA506,7.1,bri16,33,F04,sample,ELY,7/23/2016,30,MYLU
bri160667,SB701,SA502,1.2,bri16,28,B01,sample,ELY,7/24/16,30,EPFU
bri160668,SB703,SA502,1.2,bri16,28,B03,sample,ELY,7/24/16,30,EPFU
bri160669,SB704,SA502,1.2,bri16,28,B04,sample,ELY,7/24/16,30,EPFU
bri160670,SB705,SA502,1.2,bri16,28,B05,sample,ELY,7/24/16,30,EPFU
bri160671,SB706,SA502,1.2,bri16,28,B06,sample,ELY,7/24/16,30,MYLE
bri160672,SB707,SA502,1.2,bri16,28,B07,sample,ELY,7/24/16,30,MYLE
bri160673,SB708,SA502,1.2,bri16,28,B08,sample,ELY,7/24/16,30,EPFU
bri160674,SB709,SA502,1.2,bri16,28,B09,sample,ELY,7/24/16,30,MYLU
bri160675,SB710,SA502,1.2,bri16,28,B10,sample,ELY,7/25/16,31,EPFU
bri160676,SB711,SA502,1.2,bri16,28,B11,sample,ELY,7/25/16,31,EPFU
bri160677,SB712,SA502,1.2,bri16,28,B12,sample,ELY,7/25/16,31,EPFU
bri160678,SB701,SA503,1.2,bri16,28,C01,sample,ELY,7/25/16,31,MYLE
bri160679,SB702,SA503,1.2,bri16,28,C02,sample,ELY,7/25/16,31,EPFU
bri160680,SB704,SA503,1.2,bri16,28,C04,sample,ELY,7/25/16,31,EPFU
bri160681,SB705,SA503,1.2,bri16,28,C05,sample,ELY,7/25/16,31,EPFU
bri160682,SB706,SA503,1.2,bri16,28,C06,sample,ELY,7/25/16,31,EPFU
bri160683,SB707,SA503,1.2,bri16,28,C07,sample,ELY,7/25/16,31,EPFU
bri160684,SB708,SA503,1.2,bri16,28,C08,sample,ELY,7/25/16,31,MYLE
bri160685,SB709,SA503,1.2,bri16,28,C09,sample,ELY,7/25/16,31,EPFU
bri160686,SB710,SA503,1.2,bri16,28,C10,sample,ELY,7/25/16,31,EPFU
bri160687,SB711,SA503,1.2,bri16,28,C11,sample,ELY,7/25/16,31,MYLE
bri160688,SB712,SA503,1.2,bri16,28,C12,sample,ELY,7/26/16,31,EPFU
bri160689,SB701,SA504,1.2,bri16,28,D01,sample,ELY,7/26/16,31,EPFU
bri160690,SB702,SA504,1.2,bri16,28,D02,sample,ELY,7/26/16,31,EPFU
bri160691,SB703,SA504,1.2,bri16,28,D03,sample,ELY,7/26/16,31,EPFU
bri160692,SB705,SA506,7.1,bri16,33,F05,sample,ELY,7/26/2016,31,EPFU
