windowA,windowB,pvalue,BHadjusted_pvalue,Metric,Windowgroup
5HOL,6FOX,0.578,0.949,H,window456
5HOL,6HOL,0,0.014,H,window456
5HOL,6HOP,0.626,0.932,H,window456
5HOL,6MAP,0.318,0.815,H,window456
5HOL,6PEN,0.012,0.223,H,window456
5HOP,5MAP,0.854,0.969,H,window456
5HOP,5PEN,0.718,0.955,H,window456
5HOP,6CNA,0.672,0.947,H,window456
5HOP,6EPS,0.522,0.962,H,window456
5HOP,6FOX,0.167,0.606,H,window456
5HOP,6HOL,0.048,0.322,H,window456
5HOP,6HOP,0.436,0.897,H,window456
5HOP,6MAP,0.86,0.971,H,window456
5HOP,6PEN,0.128,0.536,H,window456
5MAP,5PEN,0.577,0.954,H,window456
5MAP,6CNA,0.785,0.975,H,window456
5MAP,6EPS,0.611,0.936,H,window456
5MAP,6FOX,0.211,0.662,H,window456
5MAP,6HOL,0.028,0.314,H,window456
5MAP,6HOP,0.552,0.942,H,window456
5MAP,6MAP,0.991,0.991,H,window456
5MAP,6PEN,0.098,0.458,H,window456
5PEN,6CNA,0.465,0.896,H,window456
5PEN,6EPS,0.364,0.86,H,window456
5PEN,6FOX,0.094,0.472,H,window456
5PEN,6HOL,0.081,0.437,H,window456
5PEN,6HOP,0.233,0.698,H,window456
5PEN,6MAP,0.614,0.935,H,window456
5PEN,6PEN,0.185,0.635,H,window456
6CNA,6EPS,0.807,0.98,H,window456
6CNA,6FOX,0.365,0.851,H,window456
6CNA,6HOL,0.045,0.328,H,window456
6CNA,6HOP,0.832,0.981,H,window456
6CNA,6MAP,0.808,0.975,H,window456
6CNA,6PEN,0.091,0.465,H,window456
6EPS,6FOX,0.545,0.946,H,window456
6EPS,6HOL,0.047,0.33,H,window456
6EPS,6HOP,0.929,0.981,H,window456
6EPS,6MAP,0.637,0.935,H,window456
6EPS,6PEN,0.077,0.428,H,window456
6FOX,6HOL,0.006,0.116,H,window456
6FOX,6HOP,0.407,0.863,H,window456
6FOX,6MAP,0.242,0.686,H,window456
6FOX,6PEN,0.018,0.266,H,window456
6HOL,6HOP,0.004,0.122,H,window456
6HOL,6MAP,0.055,0.364,H,window456
6HOL,6PEN,0.751,0.961,H,window456
6HOP,6MAP,0.602,0.937,H,window456
6HOP,6PEN,0.038,0.333,H,window456
6MAP,6PEN,0.117,0.512,H,window456
4CNA,4EPS,0.468,0.651,PD,window456
4CNA,4FOX,0.002,0.015,PD,window456
