SampleID,Site,rBC,fBC,SeqBatch,StudyID,DNAplate,DNAwell,SampleType,Date,WOY,HostSpecies,SiteLat,SiteLong,newDate
bri160407,ELY,SA701,SA507,7.2,bri16,37,G01,sample,7/28/16,31,EPFU,NA,NA,NA
bri160408,ELY,SA702,SA507,7.2,bri16,37,G02,sample,7/28/16,31,EPFU,NA,NA,NA
bri160409,ELY,SA703,SA507,7.2,bri16,37,G03,sample,7/28/16,31,EPFU,NA,NA,NA
bri160410,ELY,SA704,SA507,7.2,bri16,37,G04,sample,7/28/16,31,EPFU,NA,NA,NA
bri160411,ELY,SA705,SA507,7.2,bri16,37,G05,sample,7/28/16,31,EPFU,NA,NA,NA
bri160412,ELY,SA706,SA507,7.2,bri16,37,G06,sample,7/28/16,31,EPFU,NA,NA,NA
bri160568,ELY,SB702,SB507,7.2,bri16,45,G02,sample,8/22/16,35,MYLE,NA,NA,NA
bri160570,ELY,SB704,SB507,7.2,bri16,45,G04,sample,8/22/16,35,MYLU,NA,NA,NA
bri160571,ELY,SB705,SB507,7.2,bri16,45,G05,sample,8/22/16,35,MYLE,NA,NA,NA
bri160572,ELY,SB706,SB507,7.2,bri16,45,G06,sample,8/22/16,35,MYLE,NA,NA,NA
bri160573,ELY,SB708,SB507,7.2,bri16,45,G08,sample,8/22/16,35,MYLE,NA,NA,NA
bri160575,ELY,SB709,SB507,7.2,bri16,45,G09,sample,8/22/16,35,MYLE,NA,NA,NA
bri160576,ELY,SB710,SB507,7.2,bri16,45,G10,sample,8/22/16,35,MYLE,NA,NA,NA
bri160577,ELY,SB711,SB507,7.2,bri16,45,G11,sample,8/22/16,35,MYLU,NA,NA,NA
bri160579,ELY,SB701,SB508,7.2,bri16,45,H01,sample,8/23/16,35,MYLE,NA,NA,NA
bri160580,ELY,SB702,SB508,7.2,bri16,45,H02,sample,8/23/16,35,MYLE,NA,NA,NA
bri160581,ELY,SB703,SB508,7.2,bri16,45,H03,sample,8/23/16,35,MYLE,NA,NA,NA
bri160582,ELY,SB704,SB508,7.2,bri16,45,H04,sample,8/23/16,35,MYLE,NA,NA,NA
bri160583,ELY,SB705,SB508,7.2,bri16,45,H05,sample,8/23/16,35,MYLE,NA,NA,NA
bri160584,ELY,SB706,SB508,7.2,bri16,45,H06,sample,8/23/16,35,MYLE,NA,NA,NA
bri160585,ELY,SB707,SB508,7.2,bri16,45,H07,sample,8/23/16,35,MYLU,NA,NA,NA
bri160586,ELY,SB709,SB508,7.2,bri16,45,H09,sample,8/23/16,35,MYLE,NA,NA,NA
bri160587,ELY,SB710,SB508,7.2,bri16,45,H10,sample,8/23/16,35,MYLE,NA,NA,NA
bri160588,ELY,SB711,SB508,7.2,bri16,45,H11,sample,8/23/16,35,MYLE,NA,NA,NA
bri160589,ELY,SB712,SB508,7.2,bri16,45,H12,sample,8/23/16,35,MYLE,NA,NA,NA
bri160600,ELY,SB708,SB506,7.2,bri16,45,F08,sample,8/24/16,35,MYLE,NA,NA,NA
bri160601,ELY,SB710,SB505,7.2,bri16,45,E10,sample,8/24/16,35,MYLE,NA,NA,NA
bri160602,ELY,SB711,SB505,7.2,bri16,45,E11,sample,8/24/16,35,MYLE,NA,NA,NA
bri160604,ELY,SB701,SB506,7.2,bri16,45,F01,sample,8/24/16,35,MYLE,NA,NA,NA
bri160605,ELY,SB702,SB506,7.2,bri16,45,F02,sample,8/24/16,35,MYLE,NA,NA,NA
bri160606,ELY,SB703,SB506,7.2,bri16,45,F03,sample,8/24/16,35,MYLE,NA,NA,NA
